tonie_id,title,figure,description,runtime,age_recommendation,image
1,Gute-Nacht Geschichten mit Peppa,Peppa Pig,"Ab dem 26.04. vorab im Tonie-Onlineshop bestellbar! Kurze Geschichten für große Schweinchen-Fans – Peppa und ihre Familie und Freunde kommen auf die Toniebox!Sie ist klein, pink und liebt Matschepfützen über alles: Peppa Wutz begeistert mit ihren kurzen Geschichten schon die kleinsten Hörspielfans.Die schläfrige PrinzessinEs ist Schlafenszeit, doch Peppa ist überhaupt nicht müde. Deshalb erzählt Papa Wutz Peppa und Schorsch die Geschichte einer schönen Prinzessin, die mit König Papa, Königin Mama und dem kleinen Prinzen in einem großen Schloss wohnt. Ein Dinosaurier kommt in der Geschichte auch vor.Die Prinzessin schläft nach einem langen Arbeitstag des sich selbst im Spiegel Betrachtens ein - und bald schlafen wie die schläfrige Prinzessin auch Peppa und Schorsch.Die ZahnfeePeppa fällt ein Zahn heraus. Mama Wutz erklärt ihr, dass die Zahnfee in der Nacht kommen wird, um den Zahn mitzunehmen und dafür eine Münze zurückzulassen. Peppa ist sehr aufgeregt und will wach bleiben, um die Zahnfee zu sehen. Aber die ganze Nacht wach zu bleiben, hatte sie sich etwas leichter vorgestellt…Ein schöner AbendMama und Papa Wutz gehen am Abend aus, Oma und Opa Wutz sind Babysitter. Peppa und Schorsch werden ins Bett gebracht, sind jedoch zum Schlafen zu aufgeregt. Sie möchten lieber Fernsehen oder mit Oma und Opa Wutz Spiele spielen. Alle haben Spaß, bis sie völlig erschöpft sind.Als Mama und Papa Wutz nach Hause kommen, schlafen Peppa und Schorsch schnell ein - und Oma und Opa Wutz auch.SterneEs funkeln besonders viele Sterne am Nachthimmel. Peppa und Schorsch dürfen ausnahmsweise ihre Mäntel über die Schlafanzüge ziehen und zur späten Stunde in den Garten hinauslaufen. Papa Wutz zeigt ihnen den Polarstern. Leider sind die Sterne alle klitzeklein! Das wäre anders, wenn man durch ein starkes Sternenfernrohr schauen würde!ZeltenPeppa und ihre Familie fahren zum Zelten aufs Land. Papa Wutz freut sich sehr, er liebt die freie Natur. Sie bauen das Zelt auf, machen ein Lagerfeuer und beobachten eine Eule. Als es Nacht wird, stellen sie fest, dass das Zelt für die ganze Familie zu klein ist. Doch das ist kein Problem, Papa Wutz schläft unter freiem Himmel - bis es anfängt zu regnen.SchlafenszeitSchlafenszeit für Peppa und Schorsch! Bis beide gebadet sind, die Zähne geputzt haben und Papa Wutz die Gutenachtgeschichte gelesen hat, ist einige Zeit vergangen. Schließlich schlafen die Kinder friedlich ein. Als Papa und Mama Wutz endlich auf dem Sofa sitzen, stellen sie fest, dass sie selber auch schon reichlich müde sind.Die KindergartenfahrtPeppa macht mit ihrer Schulklasse einen Campingausflug. Es macht Spaß, im Dunklen am Lagerfeuer zu singen. Es ist herrlich, dann ins Zelt zu schlüpfen und sich in den Schlafsack zu kuscheln. Allerdings ist so eine Nacht im Zelt auch voller unheimlicher Geräusche und da ist es gut, dass Madame Gazelle, die Lehrerin, ein so großes Zelt dabei hat.Die ÜbernachtungspartyPeppa ist bei Zoe Zebra zu einer Übernachtungsparty eingeladen. Alle Freundinnen sind gekommen und es wird eine lustige Nacht, in der an Schlafen gar nicht zu denken ist. Aber schließlich schlüpfen doch alle müde in ihre gemütlichen Schlafsäcke.",ca. 41 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/BOX10001690_1_a-ggZgBVfO.png"
2,"Achtung, fertig, Zähneputzen!",Leos Tag,"Bli-bla-blitzeblanke Zähne! Unser kleiner Leopard hat meistens mehr spannende Dinge im Kopf als Punkte auf seinem Fell. Da ist es gut, dass seine magische Zahnbürste Elli ihn immer wieder freundlich erinnert, dass auch kleine Leoparden ihre Beißerchen putzen müssen. Und zwischen den Kapiteln können die Kleinen selbst aktiv werden: Wenn einer der 8 tollen Songs ertönt, heißt es „Ohren spitzen und mitputzen“! Denn diese sind so konzipiert, dass Kinder „spielend“ die erforderlichen zwei Minuten bürsten. In diesem Mix aus Geschichten und Liedern hilft Leo den Kindern vor allem Spaß zu haben – ob beim „Wackelzahn-Wackelalarm“, dem Zahnfee-Gedicht oder dem Gurgel-Song“.",ca. 50 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001473-50004892-b-CH2wvqo-.png"
3,"Gute Nacht, kleine Eule",Die Eule mit der Beule,"Gute Nacht, kleine Eule, es ist Schlafenszeit. Warte noch, Mama, ich bin gleich so weit. Die kleine Eule kann noch nicht schlafen. Was hilft da nur? Ein wohlig warmes Bad? Nein! Ein Schlaflied? Auch nicht! Denn am Ende hilft nur eins: der Gutenachtkuss von Mama.",ca. 49 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001489-50004782-b-xfVCE7Y5.png"
4,Furzipups - 3 Geschichten und 6 Songs,"Furzipups, der Knatterdrache","Ein furzender Drache, ein hicksendes Huhn und ein rülpsendes Mammut - alle zusammen auf einem Tonie und alle aus der Feder des Bestseller-Autors Kai Lüftner. Und wie könnte es anders sein, so hat der Erfinder von ROTZN ROLL RADIO sich natürlich nicht lumpen lassen und neben den drei Geschichten auch noch sechs passende Lieder geschrieben und höchst persönlich eingesungen.Auf diesem Tonie:Furzipups, der KnatterdracheFurzipups und Hicksi HuhnFurzipups und Rüdiger Rülps Rüsselplus 6 Songsgelesen und gesungen von Kai Lüftner",ca. 50 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001675-50005288-b-aNIpZYNe.png"
5,Seine ersten Abenteuer,Nasreddin Hodscha,"Der orientalische Schelm Nasreddin Hodscha ist nicht nur in der Türkei und in ganz Asien für seinen tiefgründigen Humor bekannt. Jetzt bezaubert er auch ohne weißen Bart - mehr als 20 seiner lustigsten Anekdoten, kindgerecht und modern für Kinder von heute nacherzählt, regen sowohl zum Lachen als auch zum Nachdenken an.Der schlagfertige Junge mit dem Spitznamen Nasri will Hodscha werden. Doch für eine Gelehrtenausbildung muss er erst einmal an der Schule in Konya angenommen werden. Zum Glück kann Nasri auf die Unterstützung seiner mutigen Freundin Elif bauen. Auf dem Weg in die Großstadt überwältigen sie Diebe, überlisten Herrscher und erleben verrückte Abenteuer mit Elefanten …Türkische Audioversion über mytonies für € 1,99 erhätllich!",ca. 85 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001488-50004778-b-gQ5yZIG5.png"
6,Woohoo! / Die Suche nach Atlantis,Disney,"Woo-Hoo!: Weil Donald zu einem Vorstellungsgespräch geht, bringt er seine Neffen zu Onkel Dagobert. Gemeinsam mit Nicky, der Enkelin von Dagoberts Haushälterin, erforschen Tick, Trick und Track die Duck-Villa. Sie entdecken magische Erinnerungsstücke voller Geister und Dämonen, die jederzeit wieder lebendig werden können. Und einige tun das auch – wie der goldfressende Drache Pixiu …Die Suche nach Atlantis:Onkel Dagobert bricht mit den Kindern zu einer Tiefsee-Expedition auf, um den magischen Rubin von Atlantis zu erbeuten. Als die Ducks in das versunkene Reich gelangen, erkennen Sie, dass ihnen der teuflische Moneysack eine Falle gestellt hat, aus der es so leicht kein Entrinnen gibt …",ca. 58 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001396-50004788-b-6xQXsQG1.png"
7,Die Junghexenbande,Bibi Blocksberg,"Der Bürgermeister plant ein Motorboot-Rennen. Und der Wendepunkt der Strecke soll ausgerechnet die Naturschutz-Insel im Fluss sein, der Geheimtreffpunkt der Junghexen! Das bedroht die dortigen Tiere und Pflanzen. Um gegen diese Idee vorzugehen, gründet Bibi mit ihren Hexenfreundinnen die „Junghexenbande“. Das gefällt dem Stadtoberhaupt gar nicht.",ca. 40 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001998-50006236-b-YC2jqSE6.png"
8,Ein unwiderschlumpfliches Lächeln & 3 weitere schlumpfige Abenteuer,Die Schlümpfe,"Die, blauen Schlümpfe sind zurück und sie schlumpfen nicht allein: Aus dem verlorenen Dorf kommen auch die neuen weiblichen Schlümpfe mit in das Schlumpfdorf, wo sie sich zusammen mit Papa Schlumpf, Schlumpfine, Schlaubi und den anderen Schlümpfen in neue, witzige und überraschende Abenteuer stürzen. Immer wieder müssen sie sich dabei auch gegen den bösen Zauberer Gargamel und seinen Kater Azrael oder die gefräßigen Oger Großmaul und Eierkopf zu Wehr setzen.Die schlumpftastischen FünfJokey manipuliert die Wahl des Rettungsteams. Als Gargamel angreift, müssen Baby, Dummi, Clumsy, Fauli und Fürchti zeigen, dass sie zurecht gewählt wurden.Wer zuletzt lacht, …Durch einen Zauber wird Jokey vervielfacht. Schon bald treibt eine Horde Mini-Jokeys im Dorf Unfug. Können Jokey und Beauty dem Spuk ein Ende bereiten?Eine gefährliche EntwicklungAls Handys Windelwickler-Roboter mit Baby durchbrennt, nehmen Papa Schlumpf, Hefty, Handy, Muffi, Schlaubi und Jokey die Verfolgung auf.Ein unwiderschlumpfliches LächelnMit einem Ausflug will Schlumpfine Muffis schlechte Laune vertreiben - vergeblich. Zu allem Unglück bricht sich Muffi auch noch ein Bein. Was nun?",ca. 50 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001677-50003915-b-C3OJyjcN.png"
9,Ein tollpatschiger Held & 3 weitere schlumpfige Abenteuer,Die Schlümpfe,"Die blauen Schlümpfe sind zurück und sie schlumpfen nicht allein: Aus dem verlorenen Dorf kommen auch die neuen weiblichen Schlümpfe mit in das Schlumpfdorf, wo sie sich zusammen mit Papa Schlumpf, Schlumpfine, Schlaubi und den anderen Schlümpfen in neue, witzige und überraschende Abenteuer stürzen. Immer wieder müssen sie sich dabei auch gegen den bösen Zauberer Gargamel und seinen Kater Azrael oder die gefräßigen Oger Großmaul und Eierkopf zu Wehr setzen.Ein tollpatschiger HeldClumsy kann sich aus Gargamels Fängen befreien. Leider führt er den bösen Zauberer ins Dorf der Schlümpfe. Kann Clumsy seinen Fehler wieder gut machen?Wo ist Papa SchlumpfNach einer Explosion ist Papa Schlumpf unsichtbar. Für das Gegenmittel müssen er, Schlaubi und Schlumpfine ein Katzenschnurrhaar von Azrael besorgen.Der ferngesteuerte SpionFliegend soll Azrael für Gargamel das Schlumpfdorf finden. Als Sturmi und Handy ihn entdecken, schmieden die beiden einen wagemutigen Plan.Waffel-MittwochKoch ist frustriert, weil alle Lilys Waffeln lieber mögen, als seine. Er entführt Lilys Waffel-Wagen und droht damit eine Klippe hinab zu stürzen.",ca. 50 Minuten,Ab 5 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000478-50003911-b-iiVCaKHC.png"
10,Bezaubernde Gutenachtgeschichten,Gloria Glühwürmchen,"Tief im Glitzerwald wohnt das kleine, aufgeweckte Glühwurmmädchen Gloria zusammen mit ihrer Familie und ihren Freunden. Sie ist ein ganz besonderes Glühwürmchen, denn nur Gloria lernt als einziges weibliches Glühwürmchen das Fliegen. Nachdem sie sich ihren großen Herzenswunsch erfüllt hat, saust sie Nacht für Nacht mit ihrer Libellenfreundin Lilly Belle durch den Glitzerwald und erlebt zehn zauberhafte Abenteuer.",ca. 128 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001483-50004756-b-UkvPZFOr.png"
11,"Na klar, Lotta kann Radfahren / Lotta zieht um",Lotta,"""Na klar, Lotta kann Rad fahren""Lotta ist fast fünf Jahre alt und wünscht sich zum Geburtstag nichtssehnlicher als ein Fahrrad. Sie hat nämlich nur ein altes Dreirad, und auf dem kann man schließlich nicht richtig fahren! Doch als der Geburtstag da ist, bekommt Lotta zwar viele schöne Geschenke, aber ein Fahrrad ist nicht dabei. Also muss Lotta sich etwas einfallen lassen …""Lotta zieht um""Als Lotta aus der Krachmacherstraße eines Morgens den kratzigen Pullover von ihrer Oma anziehen soll, wird sie richtig wütend. Erst schneidet sie ein großes Loch in den Pullover, und dann beschließt sie kurzerhand, von zu Hause auszuziehen. Nicht weit allerdings, nur zu Tante Berg nach nebenan. Denn Lotta möchte natürlich sehen, wie traurig alle sind, wenn sie keine Lotta mehr haben.""",ca. 56 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000994-50003243-b-qYPLCYsh.png"
12,Immer den Nüstern nach,Die Haferhorde,"Die Superponys sind zurück!Ein Wildschwein auf dem Blümchenhof? Sowas haben die Tiere hier noch nie gesehen. Aber der kleine Frischling Freddy hat seine Familie verloren – natürlich müssen Schoko und Keks ihm helfen, sie sind schließlich Superrettungsponys! Dabei haben sie eigentlich gerade ganz andere Sorgen: Die Chefin hat beschlossen, ein Springturnier zu veranstalten und auch die Pferde vom Donnerheini einzuladen. Und dann wird auf einmal ausgerechnet der gemütliche Toni von großem Ehrgeiz gepackt … Teil drei der turbulenten Reihe um die Ponys Schoko, Keks und ihre Freunde vom Blümchenhof – ungekürzt gelesen von Bürger Lars Dietrich.",ca. 139 Minuten,Ab 8 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001330-50004084-b-4e0R8fXC.png"
13,Feuer im Wald,Super Wings,"Lukas hat sich einen Feuerwehrhelm bestellt. Den möchte er in der Schule tragen, wenn sein Vater von seiner Arbeit als Feuerwehrmann berichtet. Plötzlich steht der Wald gleich vor der Schule in Flammen. Die Schüler sehen zu, wie gelöscht wird. Jett eilt zu Hilfe und gemeinsam mit Lukas' Vater versucht er, ein kleines Rehkitz aus den Flammen zu retten. Doch ohne Unterstützung der Super Wings wird es Jett nicht schaffen können.",ca. 58 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001398-50004796-b-vpr1i_hI.png"
